gap_id,severity,section,file,line,description,fix
GAP-001,CRITICAL,Hero partner logos,apps/web/src/app/page.tsx,78-84,"5 real third-party company names (HIMS, Mindful, Calm, Headspace, BetterHelp) rendered as styled <span> elements implying real partnerships that do not exist. Trademark/misleading-advertising risk; contrast 1.5:1 fails WCAG AA.","Replace with neutral placeholders or real <Image> logos with permission. Increase opacity to 60%+. Add aria-hidden=true. If kept, rewrite caption to 'Built to integrate with leading platforms'."
GAP-002,CRITICAL,Features /learn-more links,apps/web/src/components/home/FeatureTabs.tsx,123/162/201/240,"All 4 Learn more CTAs target /features#... but no app/features/page.tsx exists. 404 on click.","Create app/features/page.tsx with anchor sections OR redirect CTAs to /services or /about."
GAP-003,CRITICAL,FeatureTabs ARIA tablist,apps/web/src/components/home/FeatureTabs.tsx,17-87/92-247,"Two role=tab regions coexist on same activeIndex state but neither wrapped in role=tablist. 4 top tabs have aria-selected but no aria-controls. Accordion lacks aria-expanded.","Wrap 4 top buttons in <div role=tablist aria-orientation=horizontal> and add aria-controls. Convert accordion to Disclosure: add aria-expanded, role=region. Add arrow-key nav."
GAP-004,CRITICAL,animate-in classes,apps/web/src/app/page.tsx,37/44/49/54/77/118/138/158,"8 occurrences of animate-in fade-in slide-in-from-bottom-N. globals.css has no @keyframes, tailwindcss-animate not installed. Animations silently no-op. prefers-reduced-motion contract broken.","Install tailwindcss-animate OR define keyframes locally in globals.css + add @media (prefers-reduced-motion: reduce) override."
GAP-005,CRITICAL,Page metadata,apps/web/src/app/page.tsx,1,"No export const metadata or generateMetadata. Inherits 30-char title and 56-char description from layout - far below 120-160 char target. No OG, Twitter, canonical, keywords.","Add page-specific metadata: title (anonymous peer support keyword, <=60 chars), description (120-160 chars), keywords[], alternates.canonical, openGraph, twitter."
GAP-006,CRITICAL,robots.txt + sitemap.xml,apps/web/public/robots.txt + apps/web/src/app/robots.ts + apps/web/src/app/sitemap.ts,missing,"Both files absent. Search engines have no crawl hints and no discoverable list of routes.","Add apps/web/src/app/robots.ts (MetadataRoute.Robots) and apps/web/src/app/sitemap.ts enumerating public marketing routes."
GAP-007,CRITICAL,Organization JSON-LD,apps/web/src/app/page.tsx,1,"No JSON-LD on homepage even though apps/web/src/components/seo/ ships 4 JSON-LD components. Brand has no schema.org identity attached.","Create apps/web/src/components/seo/OrganizationJsonLd.tsx emitting Organization schema and render in page.tsx."
GAP-008,CRITICAL,.env file on disk,/Users/mimac/WORK/ChromaWork/hips-hsss/.env,1,".env file present in working tree containing SESSION_SERVICE_SECRET, SESSION_ANONYMISATION_KEY, SUDO_TOKEN_SECRET, HANDLE_DERIVATION_KEY, SAFETY_SERVICE_SECRET, LIVEKIT_API_KEY, LIVEKIT_API_SECRET, HOST_ACCESS_CODE.","Run git log --all --full-history -- .env. If any commit shows .env content, rotate every secret and remove file from history with git filter-repo --path .env --invert-paths."
GAP-009,CRITICAL,Hardcoded host secret,apps/web/src/app/api/auth/host-challenge/route.ts,14,"const secret = process.env.HOST_ACCESS_CODE || 'HIPS-HOST-2025' - if env is misconfigured in production, attacker with source access bypasses host auth.","Replace literal default with throw new Error('HOST_ACCESS_CODE required') in production. Rotate secret. Remove from KNOWN_PLACEHOLDERS."
GAP-010,CRITICAL,TrustStrip fabricated social proof,apps/web/src/components/polish/TrustStrip.tsx,25-52/167-168/213,"Hardcoded 12400+ sessions, Zero identity breaches, 98% report feeling safer, 4.9 stars, Trusted by 12400+ people in crisis, attributed quote from Marcus T. - none sourced.","Replace every static number with CMS-driven field. Replace attributed quote with verified consent-based attribution or remove. Block from homepage until sourced."
GAP-011,CRITICAL,ImpactStats fabricated stats,apps/web/src/components/polish/ImpactStats.tsx,14-47,"12400+ Safe Sessions, 8200+ Active Participants, 45k+ Support Hours, 2100+ Scholarships - all hardcoded.","Same as GAP-010. Verify with real data or stub as TBD before adding to homepage."
GAP-012,CRITICAL,Testimonials full real names,apps/web/src/components/testimonials/testimonials.data.ts,7-32,"5 testimonials use full first+last names (Marcus Chen, Sarah Williams, James Rivera, Dr. Emily Foster, Angela Torres). Contradicts H.I.P.S. anonymity value proposition.","Replace all names with anonymized initials and roles (e.g. M.C., Peer Support Participant)."
GAP-013,CRITICAL,PricingSwitcher undefined token,apps/web/src/components/polish/PricingSwitcher.tsx,27/33/46/56/102/117,"rounded-pill and shadow-soft not registered in globals.css. Falls back to default Tailwind radius and shadow.","Define --radius-pill: 9999px and --shadow-soft in @theme OR replace rounded-pill with rounded-full and shadow-soft with shadow-sm/md."
GAP-014,CRITICAL,HSTS missing,apps/web/next.config.ts,135-167,"No Strict-Transport-Security header emitted. Production traffic vulnerable to downgrade attacks.","Add header: Strict-Transport-Security: max-age=63072000; includeSubDomains; preload (gated on isDev=false)."
GAP-101,MAJOR,Hero right-column dead space,apps/web/src/app/page.tsx,71-73,"Two-column grid allocates 500px of empty vertical space on right at md+ viewports. Empty <div> produces visible empty column on desktop and forces tall scroll on mobile.","Populate the right column with hero illustration/mockup, OR restructure to single-column hero. At minimum wrap min-h-[500px] in md:."
GAP-102,MAJOR,Hero partner strip contrast,apps/web/src/app/page.tsx,79,"opacity-30 on primary-colored text drops effective contrast below 3:1 (large text) or 4.5:1 (normal). In light mode primary #213d53 at 30% on white = ~1.5:1 - fails WCAG AA.","Increase to opacity-60, OR use text-text-muted instead of text-primary opacity-30, AND add a high-contrast surface wrapper."
GAP-103,MAJOR,Hero text contrast over photo,apps/web/src/app/page.tsx,18-29/49,"Hero h1 and supporting paragraph rendered over photographic bg with only bg-gradient-to-t from-primary/20 overlay. 20% primary overlay too weak; contrast fails WCAG AA on bright areas.","Strengthen overlay (e.g. bg-gradient-to-b from-black/60 via-black/20 to-transparent) and switch muted text to white/90 with text-shadow, OR move h1 outside image to flat background."
GAP-104,MAJOR,Hero announcement pill sub-12px text,apps/web/src/app/page.tsx,38/40,"New label uses text-[9px], supporting line uses text-[10px]. Both fall below 12px WCAG minimum.","Replace with text-xs (12px) at minimum, OR text-sm (14px) for the supporting line."
GAP-105,MAJOR,How It Works pill badge 10px,apps/web/src/app/page.tsx,95,"text-[10px] on the How It Works badge. Same a11y concern as GAP-104.","Bump to text-xs."
GAP-106,MAJOR,Partner-strip caption 10px,apps/web/src/app/page.tsx,78,"Partnering with leading mental health organizations is text-[10px].","Bump to text-xs."
GAP-107,MAJOR,How It Works CTA identical to Hero CTA,apps/web/src/app/page.tsx,55/189,"Both primary CTAs are bg-primary text-primary-foreground hover:bg-accent and both route to /services. Two identical CTAs to same target within 600px vertical scroll.","Differentiate - e.g. secondary action on lower CTA (Browse services / See all sessions) pointing to a different route."
GAP-108,MAJOR,Hero First claim unsupported,apps/web/src/app/page.tsx,40,"First Anonymous Peer Support Network Live is a superlative. No evidence the platform is the first such network. Legally/ethically risky.","Soften to A new standard in anonymous peer support OR Now live: anonymous peer support."
GAP-109,MAJOR,Navbar drawer z-stacking,apps/web/src/components/polish/navbar.css,17-21/191-208,".hips-drawer z-index 60 and .hips-nav z-index 50. .hips-nav creates backdrop-filter stacking context, drawer can render UNDER blurred nav on some browsers.","Raise .hips-nav z-index to 70 when drawer is open OR add body[data-drawer-open=true] .hips-nav { z-index: 40 } rule."
GAP-110,MAJOR,No preconnect to fonts.gstatic.com,apps/web/src/app/layout.tsx,37-56,"Three Google Fonts load with no preconnect to fonts.gstatic.com. Each font file pays full DNS+TLS+TCP round-trip before first byte.","Add <link rel=preconnect href=https://fonts.gstatic.com crossOrigin=anonymous />. Optionally add <link rel=dns-prefetch> as legacy fallback."
GAP-111,MAJOR,Hero image 1.7MB uncompressed PNG,apps/web/public/hips_hero.png + apps/web/src/app/page.tsx,19-27,"LCP element hips_hero.png is 1.7 MB PNG. Next image optimizer converts to AVIF/WebP but source file is 1.7 MB which slows optimizer first-byte and inflates page weight.","Convert /hips_hero.png to WebP/AVIF at build time. Supply smaller srcset tier (mobile JPEG/AVIF < 200KB) for first paint and use as priority source."
GAP-112,MAJOR,trust-strip-animations.css dead code,apps/web/src/app/trust-strip-animations.css (imported at apps/web/src/app/layout.tsx:9),1,"trust-strip-animations.css imported globally in layout.tsx:9 but only used by TrustStrip which is NOT on the homepage. CSS ships to home as dead code (27 lines).","Move the @import of trust-strip-animations.css to be a local import inside TrustStrip.tsx, OR convert to CSS Module."
GAP-113,MAJOR,No /og/home route,apps/web/src/app/og/,1,"No /og/home route. apps/web/src/app/og/services/[slug]/route.tsx exists; homepage has no equivalent. Social shares of home URL fall back to missing image.","Add apps/web/src/app/og/home/route.tsx (mirror services/[slug]/ pattern) producing 1200x630 PNG, reference ${SITE_URL}/og/home in openGraph.images from GAP-005."
GAP-114,MAJOR,Title length / keywords,apps/web/src/app/page.tsx,1,"Layout-level H.I.P.S. Foundation Platform (30 chars) underuses SERP real estate and has no primary keyword. Sibling pages set keywords[].","Ensure page title includes anonymous peer support and stays <= 60 chars. Add keywords[] (see GAP-005)."
GAP-115,MAJOR,Footer h2 outside main,apps/web/src/components/polish/Footer.tsx,63,"Footer uses <h2> for column titles (Services, Organization, Legal) which sit OUTSIDE home <main>. Creates logical h2 outside document outline.","Change Footer.tsx:63 from <h2> to non-semantic <span role=presentation> OR <h3> within <section> with visually-hidden <h2> Site links."
GAP-116,MAJOR,Internal anchor coverage thin,apps/web/src/app/page.tsx,1,"Home only links to /services /opportunities /demo-room plus FeatureTabs Learn more. No link to /about /donate /crisis /contact /privacy /terms from home - pages exist (Footer has them) but are buried two clicks deep.","Add small More link set after FeatureTabs section: About the foundation, Crisis resources, Donate. OR re-prioritize one CTA to /donate on recurring visit."
